rank,lane,hero,tier,win_rate,ban_rate,pick_rate,roles
119.0,,Granger,D,42.98,1.71,1.87,Marksman
120.0,,Gatotkaca,D,45.91,0.17,0.56,Tank Fighter
121.0,,Ling,D,46.44,0.1,0.27,Assassin
122.0,,Zilong,D,46.04,0.28,0.43,Fighter Assassin
123.0,,Fanny,D,43.91,4.79,0.92,Assassin
124.0,,Karina,D,45.31,0.64,0.46,Assassin
125.0,,Layla,D,45.18,0.4,0.48,Marksman
126.0,,Mathilda,D,45.55,0.24,0.17,Support Assassin
127.0,,Lancelot,D,43.39,1.31,1.0,Assassin
128.0,,Alpha,D,44.36,0.1,0.64,Fighter
129.0,,Valentina,D,44.52,0.44,0.25,Mage
130.0,,Esmeralda,D,43.41,0.71,0.69,Mage Tank
131.0,,Dyrroth,D,43.36,0.09,0.26,Fighter
132.0,,Balmond,D,41.97,0.15,0.2,Fighter
